month_date,cnt_ave_month
2003-01-01,2507.9310344827586
2003-02-01,1831.6818181818182
2003-03-01,1219.5357142857142
2003-04-01,1297.4444444444443
2003-05-01,1690.25
2003-06-01,1254.7407407407406
2003-07-01,1235.2666666666667
2003-08-01,1276.5714285714287
2003-09-01,1610.9615384615386
2003-10-01,1541.7407407407406
2003-11-01,1437.3461538461538
2003-12-01,1534.7692307692307
2004-01-01,2760.8076923076924
2004-02-01,1591.1538461538462
2004-03-01,1532.6785714285713
2004-04-01,1400.4814814814815
2004-05-01,1336.142857142857
2004-06-01,1418.5185185185185
2004-07-01,1382.4444444444443
2004-08-01,1446.4814814814815
2004-09-01,1774.0
2004-10-01,1671.84
2004-11-01,1506.3703703703704
2004-12-01,1417.7777777777778
2005-01-01,3056.9285714285716
2005-02-01,3165.7
2005-03-01,1776.6296296296296
2005-04-01,1538.2307692307693
2005-05-01,1817.1923076923076
2005-06-01,1588.04
2005-07-01,1528.923076923077
2005-08-01,1622.2413793103449
2005-09-01,1798.125
2005-10-01,1932.28
2005-11-01,1858.4074074074074
2005-12-01,1660.892857142857
2006-01-01,3579.923076923077
2006-02-01,2787.3
2006-03-01,1954.7407407407406
2006-04-01,2004.25
